"DAY SHEETS, as at 9:21AM on Tuesday 9th"
DAY 1: Saturday 25th April 2026
Race,Time,Event #,Event Type,Round,Division,lane_1,lane_2,lane_4,lane_5
214,13:03,30,Mx Opn C4X+,heat,2,WKO* 2,VIL* 1,,
161,13:06,3,M Clb C2X,semi-final,1,,,SHAC 2,TGA* 1
215,13:09,30,Mx Opn C4X+,heat,3,AUBC 3,AUB* 1,,
162,13:12,3,M Clb C2X,semi-final,2,,,SHA* 1,AUBC 1
216,13:15,30,Mx Opn C4X+,heat,4,SYD* 1,CML* 1,,
163,13:18,4,W Clb C2X,semi-final,1,,,WKOC 1,TGA* 1
217,13:21,1,B U18 C1X,semi-final,1,SHAC 1,TGSC 1,,
164,13:24,4,W Clb C2X,semi-final,2,,,BPCC 1,EBSC 1
218,13:27,1,B U18 C1X,semi-final,2,AGSB 1,BPCC 1,,
165,13:30,12,B U18 C2X,semi-final,1,,,WRE* 1,WKOC 1
219,13:33,2,G U18 C1X,semi-final,1,WESC 1,BPCC 1,,
166,13:36,12,B U18 C2X,semi-final,2,,,WELC 1,PETC 1
220,13:39,2,G U18 C1X,semi-final,2,BPCC 2,PETC 1,,
167,13:42,13,G U18 C2X,semi-final,1,,,BPC* 1,COMC 1
221,13:45,6,M Snr C1X,semi-final,1,SHAC 1,VILC 1,,
168,13:48,13,G U18 C2X,semi-final,2,,,COMC 2,WELC 1
222,13:51,6,M Snr C1X,semi-final,2,AUBC 1,BPCC 1,,
169,13:54,14,Mx U18 C2X,semi-final,1,,,WELC 2,CASH 1
223,13:57,7,W Snr C1X,semi-final,1,WKOC 1,TGAC 1,,
170,14:00,14,Mx U18 C2X,semi-final,2,,,BPCC 1,WESC 1
224,14:03,7,W Snr C1X,semi-final,2,PETC 1,WKOC 4,,
171,14:06,15,Mx Snr C2X,semi-final,1,,,SHA* 1,NSH* 1
225,14:09,30,Mx Opn C4X+,repechage,1,AUBC 3,WKO* 2,,
172,14:12,15,Mx Snr C2X,semi-final,2,,,WKOC 2,WKOC 1
226,14:15,30,Mx Opn C4X+,repechage,2,VIL* 1,AUB* 1,,
173,14:18,25,Mx Opn C2X,semi-final,1,,,WES* 1,WKO* 4
227,14:21,21,Mx Clb C4X+,semi-final,1,BPC* 1,WKO* 1,,
174,14:24,25,Mx Opn C2X,semi-final,2,,,HWB* 1,WKOC 1
228,14:27,21,Mx Clb C4X+,semi-final,2,SHA* 1,AUB* 1,,
229,14:33,22,B U18 C4X+,semi-final,1,WRE* 1,KICC 1,,
230,14:39,22,B U18 C4X+,semi-final,2,PET* 1,SHAC 1,,
231,14:40,23,G U18 C4X+,semi-final,1, - - CANCELLED - -,,,,
232,14:41,23,G U18 C4X+,semi-final,2, - - CANCELLED - -,,,,
233,14:45,26,B U17 C4X+,semi-final,1,SHAC 11,MTAL 2,,
234,14:51,26,B U17 C4X+,semi-final,2,MTAL 1,HAM* 1,,
235,14:57,27,G U17 C4X+,semi-final,1,BPC* 1,POR* 1,,
236,15:03,27,G U17 C4X+,semi-final,2,COMC 1,KICC 1,,
237,15:09,30,Mx Opn C4X+,semi-final,1,AUB* 1,SYD* 1,,
238,15:15,30,Mx Opn C4X+,semi-final,2,WKO* 2,CML* 1,,
239,15:21,24,Mx U18 C4X+,semi-final,1,MTAL 1,BPC* 1,,
240,15:27,24,Mx U18 C4X+,semi-final,2,CASH 1,NSH* 1,,

DAY 3: Monday 27th April 2026
Race,Time,Event #,Event Type,Round,Division,lane_1,lane_2,lane_4,lane_5
243,08:30,1,B U18 C1X,final,A,BPCC 1,TGSC 1,,
244,08:40,2,G U18 C1X,final,A,BPCC 1,BPCC 2,,
245,08:50,3,M Clb C2X,final,A,SHAC 2,AUBC 1,,
246,09:00,4,W Clb C2X,final,A,WKOC 1,EBSC 1,,
247,09:10,5,Mx Clb C2X,final,A,WTMC 1,TGAC 1,,
248,09:20,6,M Snr C1X,final,A,BPCC 1,VILC 1,,
249,09:30,7,W Snr C1X,final,A,WKOC 1,PETC 1,,
250,09:40,8,B U17 C2X,final,A,SHAC 1,CASH 1,,
251,09:50,9,G U17 C2X,final,A,KICC 1,BPC* 3,,
252,10:00,11,W C-D C2X,final,A,WESC 2 (D),WESC 1 (C),,
253,10:10,12,B U18 C2X,final,A,WELC 1,WKOC 1,,
254,10:20,13,G U18 C2X,final,A,COMC 2,BPC* 1,,
255,10:40,14,Mx U18 C2X,final,A,BPCC 1,CASH 1,,
256,10:50,15,Mx Snr C2X,final,A,NSH* 1,WKOC 1,,
257,11:00,16,M E-F C2X,final,A,WESC 1 (E),NSHC 1 (E),,
258,11:10,18I,Mx I 2X (P),final,A,PET* 1,,,
259,11:30,19,M Opn C1X,semi-final,1,WKOC 1,AVNC 1,,
260,11:40,19,M Opn C1X,semi-final,2,CAMC 1,VILC 1,,
261,11:50,19,M Opn C1X,final,B,VILC 1,AVNC 1,,
262,12:00,19,M Opn C1X,final,A,WKOC 1,CAMC 1,,
263,12:10,20,W Opn C1X,semi-final,1,HWBC 1,WESC 2,,
264,12:20,20,W Opn C1X,semi-final,2,WESC 1,DUAC 1,,
265,12:30,20,W Opn C1X,final,B,DUAC 1,WESC 2,,
266,12:40,20,W Opn C1X,final,A,HWBC 1,WESC 1,,
267,12:50,21,Mx Clb C4X+,final,A,BPC* 1,SHA* 1,,
268,13:00,22,B U18 C4X+,final,A,SHAC 1,KICC 1,,
269,13:10,23,G U18 C4X+,final,A,COMC 1,WES* 1,,
270,13:20,24,Mx U18 C4X+,final,A,BPC* 1,NSH* 1,,
271,13:30,25,Mx Opn C2X,final,A,HWB* 1,WES* 1,,
272,13:40,26,B U17 C4X+,final,A,MTAL 2,HAM* 1,,
273,13:50,27,G U17 C4X+,final,A,POR* 1,KICC 1,,
274,14:00,28,Mx C-D C4X+,final,A,WES* 1 (D),,,
275,14:00,29,Mx E-F C4X+,final,A,,WES* 1 (E),,
276,14:10,30,Mx Opn C4X+,final,A,CML* 1,SYD* 1,,
277,14:16,30,Mx Opn C4X+,final,B,AUB* 1,WKO* 2,,
