"DAY SHEETS, as at 9:21AM on Tuesday 9th"
DAY 1: Sunday 25th January 2026
Race,Time,Event #,Event Type,Round,Division,lane_1,lane_2,lane_3,lane_4,lane_5,lane_6,lane_7,lane_8,lane_9,Progression
233 (Q),10:38,42,W Clb 1X,final,A,BPCC 1,WREC 2,HWBC 1,WKOC 2,CAMC 11,WKOC 1,KICC 1,WESC 1,ROTC 2,"medals"
234 (R),10:42,43,M Clb 4X-,final,A,SHAC 1,CLIC 1,HWBC 1,SGE* 1,WKOC 1,AWGC 1,WESC 1,STAC 1,WREC 1,"medals"
235 (S),10:46,44,M Clb 4X+,final,A,HKIC 1,CAMC 22,WANC 2,AWGC 1,CAMC 21,WANC 1,TGBC 1,SPCC 1,KICC 1,"medals"
236 (T),10:50,45E,W #2 Int 4X+,final,A, - - CANCELLED - -,,,,,,,,,"medals"
237 (U),10:54,46,W Int 4X+,final,A, - - CANCELLED - -,,,,,,,,,"medals"
238 (V),10:58,48,M Int 4+,final,A, - - CANCELLED - -,,,,,,,,,"medals"
239 (W),11:03,49,M Nov 8X+,final,B, - - CANCELLED - -,,,,,,,,,""
240 (X),11:08,49,M Nov 8X+,final,A, - - CANCELLED - -,,,,,,,,,"medals"
241 (Y),11:14,50,M Snr 1X,final,A, - - CANCELLED - -,,,,,,,,,"medals"
242 (Z),11:20,51,W Snr 1X,final,A, - - CANCELLED - -,,,,,,,,,"medals"
243 (A),11:26,53,W Clb 4+,final,A, - - CANCELLED - -,,,,,,,,,"medals"
244 (B),11:32,54,M Clb 2-,final,A, - - CANCELLED - -,,,,,,,,,"medals"
245 (C),11:38,55,W Int 1X,final,A, - - CANCELLED - -,,,,,,,,,"medals"
246 (D),11:44,56E,W #2 Nov 4X+,final,A, - - CANCELLED - -,,,,,,,,,"medals"
247 (E),11:50,57,W Nov 4X+,final,A, - - CANCELLED - -,,,,,,,,,"medals"
248 (F),11:56,58,M Int 1X,final,A, - - CANCELLED - -,,,,,,,,,"medals"
249 (G),12:02,59,M Nov 2X,final,A, - - CANCELLED - -,,,,,,,,,"medals"
250 (H),12:08,60A,M Opn 8+,final,B, - - REMOVED - -,,,,,,,,,""
251 (I),12:14,60A,M Opn 8+,final,A, - - CANCELLED - -,,,,,,,,,"medals"
252 (J),12:20,11,W Snr 2-,final,A, - - CANCELLED - -,,,,,,,,,""
253 (K),12:26,20,W Prm 2-,final,A, - - CANCELLED - -,,,,,,,,,""
254 (L),12:32,22,W Snr 2X,final,A, - - CANCELLED - -,,,,,,,,,""
255 (M),12:44,30A,M Prm 2X,final,A, - - CANCELLED - -,,,,,,,,,""
255 (M),12:44,30B,W Prm 2X,final,A, - - CANCELLED - -,,,,,,,,,""
256 (N),12:50,33A,M Snr 4X-,final,A, - - CANCELLED - -,,,,,,,,,""
257 (O),13:02,33B,Mx Opn 4X-,final,A, - - CANCELLED - -,,,,,,,,,""
257 (O),13:02,33C,W Snr 4X-,final,A, - - CANCELLED - -,,,,,,,,,""
258 (P),13:08,36E,M #2 Nov 4+,final,A, - - CANCELLED - -,,,,,,,,,""
259 (Q),13:14,38A,M Prm 4-,final,A, - - CANCELLED - -,,,,,,,,,""
259 (Q),13:14,38B,W Prm 4-,final,A, - - CANCELLED - -,,,,,,,,,""
260 (R),13:20,41A,M Snr 4-,final,A, - - CANCELLED - -,,,,,,,,,"medals"
261 (S),13:32,41B,W Snr 4-,final,A, - - CANCELLED - -,,,,,,,,,""
262 (T),13:38,47A,M Prm 4X-,final,A, - - CANCELLED - -,,,,,,,,,""
262 (T),13:38,47B,W Prm 4X-,final,A, - - CANCELLED - -,,,,,,,,,""
263 (U),14:02,52,W Clb 4-,final,A, - - CANCELLED - -,,,,,,,,,""
264 (V),14:32,60B,Mx Opn 8+,final,A, - - CANCELLED - -,,,,,,,,,""
264 (V),14:32,60C,W Opn 8+,final,A, - - CANCELLED - -,,,,,,,,,""
